# parameters
#\ t=10
#\ V=420


# 2theta(angle in degrees) / N(in counts)

#! theta[f, 0]/ N[f,1]/

20 224
21 245
22 230
23 225
24 202
25 175
26 138
27 145
28 137
29 1047
30 219
31 162
32 2749
33 411
34 89
35 88
36 79
37 86
38 67
39 60
40 61
41 58
42 70
43 59
44 50
45 51
46 64
47 55
48 53
49 43
50 52
51 52
52 50
53 47
54 41
55 42
56 58
57 37
58 49
59 59
60 162
61 46
62 59
63 47
64 55
65 54
66 132
67 740
68 66
69 50
70 40
71 46
72 76
73 52
74 28
75 52
76 55
77 66
78 54
79 45
80 55
81 59
82 68
83 51
84 55
85 52
86 54
87 61
88 56
89 44
90 74
91 55
92 70
93 69
94 75
95 77
96 102
97 65
98 68
99 59
100 57
101 71
102 69
103 63
104 71
105 48
106 78
107 76
108 56
109 77
110 180
111 131
112 83
113 64
114 65
115 85
